ts	phase	decision	why	evidence	result
2026-09-07T10:00:00Z	frame	Use a dedicated house template and keep eight vacant homes	Current homes strip a competition template and disappear on leave	src/ServerScriptService/HousingService.lua; docs/neighborhood-build-2026-09-07.md	Baseline inspected; implementation pending
2026-09-07T10:05:05Z	audit	Correct the first row's timestamp and baseline pointer	Its timestamp was entered ahead of the clock and its source pointer became mutable	caa928a:src/ServerScriptService/HousingService.lua; docs/evidence/neighborhood-baseline.json	First row describes the initial framing; 10:00 is not an observed event time. Subsequent rows use documentation time.
2026-09-07T10:05:05Z	backup	Keep the old neighborhood and source before replacing Test geometry	User asked for documented changes and a way back	ServerStorage.NeighborhoodBefore_20260907; build/neighborhood-2026-09-07	Scene and source copies retained; repository baseline caa928a remains available
2026-09-07T10:05:05Z	build	Use eight complete cottages facing a central green with shops at the plaza end	A vacant lot should still look like a neighborhood home	HouseTemplateBuilder.lua; HouseLotService.lua; docs/evidence/neighborhood-aerial.jpg	Eight homes, park walks, fountain, benches, lamps and three walk-in shop buildings installed
2026-09-07T10:05:05Z	persistence	Store new furniture placements relative to their home	World coordinates cannot follow the owner onto a different lot	HousePlacementGeometry.lua; docs/evidence/neighborhood-acceptance-initial.json	Opposite-side lot transform passed; legacy saves retained and interpreted without rewriting on load
2026-09-07T10:05:05Z	approval	Use narrow house serialization edits after whole-module replacement was rejected	Automatic review rejected replacing the broad progression and marketplace service	git diff caa928a -- src/ServerScriptService/ProgressionService.lua	Exact house-space fields and the separate Studio mock selector were accepted; no purchase or receipt changes
2026-09-07T10:05:05Z	verify	Run acceptance through a real server Script with an explicit mock-profile flag	MCP requires have separate module state; a DataModel attribute did not copy into Play	tools/NeighborhoodAcceptance.server.lua; docs/evidence/neighborhood-acceptance-initial.json	Initial exploratory Play loaded the existing profile; fixture mutations started only after verifying mock profiles and no live profile
2026-09-07T10:05:05Z	verify	Test the door with collision rays and an actual walking avatar	A changing door attribute alone does not prove a usable entrance	docs/evidence/neighborhood-acceptance-initial.json; docs/evidence/house-open.jpg	Door opens, blocks unsafe closure, closes and allows Humanoid.MoveTo through the doorway
2026-09-07T10:05:05Z	review	Fix retained placements and verify contact surfaces	Independent review found recovered items could remain blocked by their old record	HousingService.lua; HousePlacementGeometry.lua; tools/NeighborhoodAcceptance.server.lua	Source reuses an unmaterialized record on valid placement and rejects unsupported positions; final runtime check pending
2026-09-07T10:05:05Z	art	Replace ball feet with four attached recessed blocks	Supports must visibly and physically carry the sofa base	authoring/art-study/support-verification.json; authoring/art-study/assets/three-piece-review0001.png	All four supports reach floor zero and intersect the walnut base
2026-09-07T10:05:05Z	upload	Upload the approved candidates as persistent private mesh and image assets	User explicitly approved the previous upload proposal	docs/evidence/furniture-private-assets.json; authoring/art-study/UploadReview.lua	Ten meshes and 27 material images uploaded; asset-name length fixed and avatar reference excluded; Play verification pending
2026-09-07T10:16:00Z	verify	Complete real runtime recovery and departure checks	Resolve the pending checks in the earlier review and upload rows	docs/evidence/neighborhood-acceptance-final.json; docs/evidence/furniture-persistent-play.jpg	39 passing checks; actual remote recovery, inside prompt input, PlayerRemoving restoration and ten persistent meshes with no preload failures
2026-09-07T10:16:00Z	backup	Rebuild the gallery using only the recorded private asset IDs	Durable authoring assets should not depend on ephemeral EditableMesh objects	authoring/art-study/PersistentReview.lua; authoring/art-study/private-assets.json	Three models reconstructed successfully in Edit with export-matching dimensions; prior models retained in ServerStorage
2026-09-07T10:16:00Z	audit	Limit the approval row's evidence claim	The git diff proves the narrow final source change but does not record the reviewer's rejection	docs/neighborhood-build-2026-09-07.md; git diff caa928a -- src/ServerScriptService/ProgressionService.lua	Approval rejection is described from this task's tool transcript; the linked diff is implementation evidence only
2026-09-07T10:16:09Z	audit	Correct the three preceding manually entered checkpoint times	The observed clock after writing them was 10:14:16 UTC, before their entered 10:16 timestamp	Clock tool results in this task	Read those three rows as completion notes written by 10:14:16; their result evidence remains valid
2026-09-07T10:16:09Z	verify	Compare final installed source and remove test drivers	Leave a reproducible neighborhood ready for ordinary Test Play	docs/evidence/neighborhood-source-sync.json; tools/validate-repo.ps1	All twelve source comparisons match; Rojo and repository validation pass; eight vacant homes remain; normal Test profiles restored
2026-09-07T10:16:09Z	review	Record remaining limits from the follow-up review	Passing focused tests do not establish every catalog pivot or eight networked clients	docs/neighborhood-build-2026-09-07.md; docs/evidence/neighborhood-acceptance-final.json	GPT-5.6 Sol found no remaining definite defect; missing-asset feedback and full multiplayer coverage remain documented limitations
